pk_occupation_id,employment,wage
592,40640,124300
593,4290,208000
594,113500,37920
595,44790,29990
596,6310,208000
597,30080,100300
598,9150,75440
599,35570,37540
600,369330,35960
601,653870,29940
602,215680,45590
603,11990,37330
604,92050,44820
605,2220,47610
606,345240,56230
607,22880,63750
608,105290,29240
609,8150,46590
610,259280,34260
611,13200,30470
612,162800,45720
613,2230,48090
614,330,46920
615,41470,46960
616,159190,47610
617,33430,170480
618,3636900,29430
619,283060,94170
620,91160,37540
621,22740,38270
622,20540,130850
623,31360,79540
624,325480,128570
625,43230,29930
626,453630,36740
627,21620,77610
628,137090,37380
629,47380,38950
630,5380,36590
631,150420,100640
632,70250,61950
633,305260,208000
634,42800,29200
635,97740,61180
636,229740,95620
637,140910,121530
638,12320,208000
639,18840,152430
640,12860,93070
641,3290,76260
642,36070,45980
643,25950,48340
644,32050,37200
645,427920,59880
646,9320,145840
647,54010,69510
648,107400,83640
649,655890,64610
650,15190,81980
651,5660,122510
652,77690,52290
653,326760,52440
654,119530,48550
655,13460,80250
656,39060,37500
657,6070,45850
658,9380,98530
659,31590,80850
660,13140,40430
661,25250,42610
662,415360,30210
663,28570,28680
664,305260,208000
665,39030,36590
666,150010,37770
667,32050,59380
668,89920,60250
669,63340,45150
670,153770,79000
671,389920,48040
672,5120,43940
673,261120,59230
674,146200,100950
675,30590,30260
676,100950,36570
677,26500,208000
678,40050,77860
679,264750,62800
680,95730,46670
681,10870,49580
682,459800,63470
683,75070,127150
684,70770,48030
685,211710,103150
686,15510,82790
687,106640,104820
688,13020,60360
689,215820,61370
690,29250,208000
691,19830,60250
692,2680,61090
693,18600,61690
694,14210,63840
695,40940,63960
696,22880,63750
697,52310,62010
698,193010,48340
699,1011170,29950
700,270380,29680
701,13400,72440
702,15920,47940
703,17190,43560
704,536100,54850
705,2934050,31230
706,580,54250
707,132240,38500
708,3072700,77600
709,543290,124650
710,359640,71650
711,82420,38560
712,17270,48830
713,19820,104100
714,70770,49030
715,119130,39900
716,86770,31220
717,129910,61830
718,93840,38210
719,3640040,29120
720,19260,48130
721,150420,100640
722,14540,60360
723,3910,37700
724,27900,46210
725,1700,59770
726,131980,47110
727,12190,56380
728,39100,38920
729,28500,46720
730,59700,103710
731,536390,127490
732,1273400,61600
733,290830,94840
734,46400,35340
735,60250,78780
736,798620,63920
737,1042090,61820
738,1826710,37880
739,443220,62910
740,1124890,31470
741,80720,48320
742,32900,39850
743,248150,43580
744,23860,39870
745,52470,46030
746,27660,44810
747,36320,48410
748,9490,54860
749,3440,29930
750,116750,29690
751,7480,24440
752,120810,53440
753,8650,82410
754,848240,36890
755,2960,28560
756,8860,31450
757,6880,80570
758,61990,37300
759,78660,29900
760,28720,49720
761,12050,71010
762,162880,74000
763,399560,37610
764,2980,92910
765,12030,77980
766,196420,98220
767,16010,66750
768,720900,72010
769,150420,100640
770,27760,47670
771,290830,94840
772,427920,59880
773,13420,60500
774,8840,60360
775,82970,61820
776,22970,62420
777,152490,62120
778,35990,78790
779,162760,79060
780,107170,37740
781,305260,208000
782,31470,63500
783,6710,48160
784,30780,95570
785,2842060,30110
786,39060,37500
787,10220,47610
788,66810,58550
789,58870,45480
790,327500,48520
791,9120,81180
792,169910,98230
793,18650,48320
794,107400,48530
795,7880,59740
796,56580,46910
797,47770,61600
798,1081230,74670
799,47430,30150
800,16870,31420
801,153770,79000
802,12470,49390
803,14290,61080
804,50610,56780
805,82370,46290
806,135160,38040
807,1262800,36590
808,48620,78060
809,173920,120520
810,168180,60370
811,107670,60190
812,96520,28910
813,4030,37630
814,352440,36310
815,1460,48680
816,6640,29930
817,10700,29960
818,16900,33990
819,23830,30020
820,40760,47810
821,370,37780
822,18360,47940
823,99980,29580
824,53680,47310
825,5320,38430
826,61730,57000
827,43400,29780
828,7310,48610
829,39550,120130
830,367180,61570
831,3370,64930
832,307570,88050
833,24420,79770
834,33210,84430
835,47550,45470
836,24420,79770
837,169910,98230
838,53180,43810
839,43400,29780
840,740780,131710
841,48150,46970
842,174980,36470
843,12720,35860
844,26990,37420
845,39880,78500
846,305260,208000
847,98350,24440
848,321400,95300
849,78810,100370
850,111880,29780
851,118750,36850
852,97350,79890
853,2122210,26000
854,1880,44250
855,82570,137900
856,119350,47880
857,307570,88050
858,32900,39850
859,416320,95270
860,88620,77030
861,52610,37610
862,408990,47010
863,30940,38580
864,14550,63740
865,459800,63470
866,543290,124650
867,150420,100640
868,543290,124650
869,9830,56260
870,63680,36090
871,41990,44030
872,54010,69510
873,17410,64650
