occupation,education,education_years
"Metal-Refining Furnace Operators and Tenders","High school diploma or equivalent",17.0
"Meter Readers, Utilities","High school diploma or equivalent",17.0
Microbiologists,"Bachelor's degree",21.0
"Microsystems Engineers","Bachelor's degree",21.0
"Middle School Teachers, Except Special and Career/Technical Education","Bachelor's degree",21.0
Midwives,"Doctoral or professional degree",22.0
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","High school diploma or equivalent",17.0
Millwrights,"High school diploma or equivalent",17.0
"Mining and Geological Engineers, Including Mining Safety Engineers","Bachelor's degree",21.0
"Mixing and Blending Machine Setters, Operators, and Tenders","High school diploma or equivalent",17.0
"Mobile Heavy Equipment Mechanics, Except Engines","High school diploma or equivalent",17.0
"Model Makers, Metal and Plastic","High school diploma or equivalent",17.0
"Model Makers, Wood","High school diploma or equivalent",17.0
Models,"No formal educational credential",14.0
"Molders, Shapers, and Casters, Except Metal and Plastic","High school diploma or equivalent",17.0
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","High school diploma or equivalent",17.0
"Molecular and Cellular Biologists","Bachelor's degree",21.0
"Morticians, Undertakers, and Funeral Arrangers","Associate's degree",19.0
"Motion Picture Projectionists","No formal educational credential",14.0
"Motorboat Mechanics and Service Technicians","High school diploma or equivalent",17.0
"Motorboat Operators","Postsecondary nondegree award",18.5
"Motorcycle Mechanics","Postsecondary nondegree award",18.5
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","High school diploma or equivalent",17.0
"Museum Technicians and Conservators","Bachelor's degree",21.0
"Music Directors and Composers","Bachelor's degree",21.0
"Music Therapists","Bachelor's degree",21.0
"Musical Instrument Repairers and Tuners","High school diploma or equivalent",17.0
"Musicians and Singers","No formal educational credential",14.0
Nannies,"High school diploma or equivalent",17.0
"Nanosystems Engineers","Bachelor's degree",21.0
"Nanotechnology Engineering Technologists and Technicians","Associate's degree",19.0
"Natural Sciences Managers","Bachelor's degree",21.0
"Naturopathic Physicians","Doctoral or professional degree",22.0
"Network and Computer Systems Administrators","Bachelor's degree",21.0
